loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 13:57,-20.04901633,148.1542098,0.90635397,0.269990501
PN8345,10/23/2018 13:57,-20.0490195,148.1542083,1.25404283,0.385404555
PN8345,10/23/2018 13:57,-20.04902317,148.1542063,1.47345813,0.458122167
PN8345,10/23/2018 13:57,-20.04902767,148.1542045,1.6371757,0.535771328
PN8345,10/23/2018 13:57,-20.04903117,148.1542028,1.08694964,0.426346786
PN8345,10/23/2018 13:57,-20.049034,148.1542015,0.94179798,0.344464152
PN8345,10/23/2018 13:57,-20.04903733,148.1542,1.35193581,0.402406929
PN8345,10/23/2018 13:57,-20.04904167,148.1541982,1.62198541,0.518505446
PN8345,10/23/2018 13:57,-20.04904717,148.1541958,2.22115796,0.658350657
PN8345,10/23/2018 13:57,-20.0490535,148.154193,2.41863173,0.763896968
PN8345,10/23/2018 13:57,-20.0490605,148.15419,2.7173741,0.839077842
PN8345,10/23/2018 13:57,-20.04906783,148.1541867,2.75788154,0.886656753
PN8345,10/23/2018 13:57,-20.04907567,148.154183,3.14945346,0.951515753
PN8345,10/23/2018 13:57,-20.04908483,148.1541787,3.5781572,1.115272493
PN8345,10/23/2018 13:57,-20.04909467,148.1541742,3.89377767,1.190172659
PN8345,10/23/2018 13:57,-20.049105,148.1541692,4.1520126,1.262145922
PN8345,10/23/2018 13:57,-20.04911617,148.154164,4.46425745,1.353893599
PN8345,10/23/2018 13:57,-20.04912817,148.1541583,4.77143887,1.459736192
PN8345,10/23/2018 13:57,-20.04914083,148.1541523,5.12756678,1.541618028
PN8345,10/23/2018 13:57,-20.04915433,148.1541458,5.44318725,1.647541009
PN8345,10/23/2018 13:57,-20.04916883,148.154139,5.738554,1.763260037
PN8345,10/23/2018 13:57,-20.049184,148.1541318,6.05079885,1.8451404
PN8345,10/23/2018 13:57,-20.04920017,148.1541243,6.3292875,1.960944004
PN8345,10/23/2018 13:57,-20.04921667,148.1541167,6.62802987,2.001878068
PN8345,10/23/2018 13:57,-20.04923417,148.1541083,6.96221625,2.131733471
PN8345,10/23/2018 13:57,-20.04925217,148.1540998,7.31834416,2.189604013
PN8345,10/23/2018 13:57,-20.04927133,148.1540908,7.63902806,2.329370763
PN8345,10/23/2018 13:57,-20.04929117,148.1540813,8.00359502,2.418339905
PN8345,10/23/2018 13:57,-20.04931183,148.1540717,8.3209033,2.510083286
PN8345,10/23/2018 13:57,-20.04933333,148.1540615,8.62302129,2.615948757
PN8345,10/23/2018 13:57,-20.0493555,148.1540508,8.97577358,2.704955419
PN8345,10/23/2018 13:57,-20.0493785,148.15404,9.25932566,2.79665167
PN8345,10/23/2018 13:57,-20.04940233,148.1540288,9.55975584,2.895483818
PN8345,10/23/2018 13:57,-20.049427,148.1540173,9.8568104,2.994326269
PN8345,10/23/2018 13:57,-20.04945217,148.1540055,10.12517219,3.059236979
PN8345,10/23/2018 13:57,-20.04947817,148.1539933,10.37834369,3.158072137
PN8345,10/23/2018 13:57,-20.04950483,148.1539807,10.67708606,3.247002186
PN8345,10/23/2018 13:57,-20.04953217,148.153968,10.94038442,3.314836016
PN8345,10/23/2018 13:57,-20.04956017,148.1539548,11.18849249,3.403700593
PN8345,10/23/2018 13:57,-20.04958867,148.1539415,11.4602299,3.461597817
PN8345,10/23/2018 13:57,-20.049618,148.1539278,11.65770367,3.560442322
PN8345,10/23/2018 13:57,-20.049648,148.153914,11.97332414,3.635359001
PN8345,10/23/2018 13:57,-20.0496785,148.1538998,12.12522704,3.700228543
PN8345,10/23/2018 13:57,-20.04970933,148.1538857,12.26869089,3.734229765
PN8345,10/23/2018 13:57,-20.04974083,148.1538708,12.61975537,3.830042299
PN8345,10/23/2018 13:57,-20.049773,148.1538558,12.76153141,3.904903527
PN8345,10/23/2018 13:57,-20.04980567,148.1538407,12.94887832,3.962819534
PN8345,10/23/2018 13:57,-20.04983833,148.1538253,13.01976634,3.969811337
PN8345,10/23/2018 13:57,-20.04987133,148.15381,13.05352254,4.003753492
PN8345,10/23/2018 13:57,-20.0499045,148.1537947,13.18517172,4.020745186
PN8345,10/23/2018 13:57,-20.04993817,148.153779,13.36576739,4.085622613
PN8345,10/23/2018 13:57,-20.04997217,148.1537632,13.50754343,4.126557621
PN8345,10/23/2018 13:57,-20.05000633,148.1537473,13.55480211,4.143543038
PN8345,10/23/2018 13:57,-20.0500405,148.1537315,13.53117277,4.1435429
PN8345,10/23/2018 13:57,-20.05007467,148.1537155,13.67970005,4.150522318
PN8345,10/23/2018 13:57,-20.05010917,148.1536995,13.74046121,4.184476028
PN8345,10/23/2018 13:57,-20.05014383,148.1536833,13.81472485,4.20842804
PN8345,10/23/2018 13:57,-20.05017867,148.1536672,13.82147609,4.225409475
PN8345,10/23/2018 13:57,-20.05021333,148.1536512,13.82822733,4.20147224
PN8345,10/23/2018 13:57,-20.05024817,148.153635,13.90586659,4.225409176
PN8345,10/23/2018 13:58,-20.05028333,148.1536187,13.96662775,4.266343072
PN8345,10/23/2018 13:58,-20.0503185,148.1536025,14.01894986,4.259410848
PN8345,10/23/2018 13:58,-20.05035433,148.1535862,14.07971102,4.334388614
PN8345,10/23/2018 13:58,-20.05039,148.1535697,14.09996474,4.324267475
PN8345,10/23/2018 13:58,-20.05042567,148.1535532,14.23498954,4.324267321
PN8345,10/23/2018 13:58,-20.05046167,148.1535365,14.28731165,4.365199822
PN8345,10/23/2018 13:58,-20.05049767,148.1535198,14.3295069,4.365199666
PN8345,10/23/2018 13:58,-20.05053383,148.153503,14.40208273,4.389145858
PN8345,10/23/2018 13:58,-20.05057017,148.1534858,14.40377054,4.420142461
PN8345,10/23/2018 13:58,-20.0506065,148.1534688,14.47465856,4.413108448
PN8345,10/23/2018 13:58,-20.05064283,148.1534518,14.53373191,4.413108285
PN8345,10/23/2018 13:58,-20.0506795,148.1534347,14.54217096,4.454045334
PN8345,10/23/2018 13:58,-20.05071617,148.1534178,14.60968336,4.440142027
PN8345,10/23/2018 13:58,-20.050753,148.1534003,14.70420072,4.48509324
PN8345,10/23/2018 13:58,-20.05078983,148.1533823,14.73120568,4.50663161
